name,category,price,description,image,image_1,image_2,image_3
Abia,NYSC TOUR,100000,"Abia State, the 'God's Own State', is a vibrant hub of commerce and culture in southeastern Nigeria. Home to Aba, one of West Africa's largest markets, and the peaceful Arochukwu Long Juju shrine, Abia blends entrepreneurial spirit with deep-rooted Igbo heritage. Corps members enjoy rich cultural festivals, bustling trade centers, and warm, industrious communities.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Adamawa,NYSC TOUR,100000,"Adamawa State, the 'Land of Beauty', sits majestically in northeastern Nigeria, crowned by the breathtaking Mandara Mountains and the serene Gashaka Gumti National Park — Nigeria's largest national park. With its stunning highland scenery, diverse ethnic tapestry, and the majestic River Benue, Adamawa offers corps members an unforgettable adventure into Nigeria's wild and cultural heartland.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Akwa Ibom,NYSC TOUR,100000,"Akwa Ibom, the 'Land of Promise', is blessed with pristine Atlantic coastlines, swaying palm trees, and some of Nigeria's finest seafood. Known as Nigeria's oil capital and home to the iconic Ibom Tropicana Entertainment Centre, this southern gem radiates hospitality and cultural richness. Corps members enjoy warm beaches, lively festivals, and the legendary Akwa Ibom cuisine.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Anambra,NYSC TOUR,100000,"Anambra State, the 'Light of the Nation', is a cradle of Igbo civilization and commerce. Home to the ancient Igbo-Ukwu archaeological treasures, the sacred Oguta Lake, and the bustling city of Onitsha with its legendary main market, Anambra pulsates with energy and tradition. Corps members experience a fusion of ancient history, dynamic trade, and warm Igbo community spirit.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Bauchi,NYSC TOUR,100000,"Bauchi State, the 'Pearl of Tourism', is home to the world-renowned Yankari National Park, Nigeria's premier wildlife sanctuary where elephants roam freely and natural warm springs beckon. Rich in Islamic heritage and the colourful Bauchi Palace culture, this northeastern state offers corps members a rare blend of wildlife encounters, ancient emirates, and vibrant northern hospitality.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Bayelsa,NYSC TOUR,100000,"Bayelsa State, the 'Glory of All Lands', is a stunning riverine paradise nestled deep in the Niger Delta, where creeks, mangroves, and waterways create one of Africa's most unique ecosystems. Birthplace of President Goodluck Jonathan, Bayelsa enchants corps members with its Ijaw cultural festivals, fresh seafood delicacies, and the breathtaking Ox-bow Lake.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Benue,NYSC TOUR,100000,"Benue State, the 'Food Basket of the Nation', stretches along the banks of the mighty River Benue, yielding the most fertile farmlands in Nigeria. Known for its warm and welcoming Tiv and Idoma peoples, vibrant masquerade festivals, and the iconic Aliade Festival, Benue offers corps members lush green landscapes, agricultural abundance, and a deeply enriching cultural immersion.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Borno,NYSC TOUR,100000,"Borno State, 'Home of Peace', is the cradle of the ancient Kanem-Bornu Empire, one of Africa's oldest and most powerful civilizations. Lake Chad, the Shehu of Borno's magnificent palace, and the archaeological wonders of the ancient city speak volumes of timeless majesty. Corps members uncover a land steeped in over a thousand years of Islamic scholarship, ancient trade routes, and royal heritage.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Cross River,NYSC TOUR,100000,"Cross River State, 'The People's Paradise', is Nigeria's tourism capital, hosting Africa's biggest street party — the Calabar Carnival. With the lush Cross River National Park, ancient Obudu Mountain Resort, and centuries-old Calabar as Nigeria's first capital, this southern jewel overwhelms corps members with carnival energy, pristine rainforests, rare wildlife, and breathtaking mountain scenery.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Delta,NYSC TOUR,100000,"Delta State, 'The Big Heart', sits where the Niger Delta meets the Atlantic, weaving together rivers, creeks, and one of the richest oil-producing landscapes in Africa. Home to the historic Benin Kingdom relics, the ancient Itsekiri chieftaincy traditions, and the vibrant Warri city life, Delta State captivates corps members with its diverse cultures, festive waterfronts, and extraordinary Niger Delta cuisine.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
